"","param","lower.Q1","mean","upper.Q3"
"1","AAD.male",13.438,13.782,14.13
"2","SDAD.male",5.925,6.15,6.361
"3","BSD.male",2.031,2.138,2.257
"4","WSD.male",1.724,1.812,1.89
"5","slope.male",0.296,0.315,0.333
"6","intercept.male",-2.654,-2.378,-2.067
