"","param","lower.Q1","mean","upper.Q3"
"1","AAD.male",10.606,13.151,15.429
"2","SDAD.male",5.46,6.008,6.586
"3","BSD.male",1.74,2.026,2.278
"4","WSD.male",1.666,1.837,1.988
"5","slope.male",0.254,0.316,0.372
"6","intercept.male",-2.804,-2.099,-1.244
