"","param","lower.Q1","mean","upper.Q3"
"1","AAD.male",13.451,13.83,14.221
"2","SDAD.male",5.947,6.164,6.368
"3","BSD.male",1.969,2.098,2.222
"4","WSD.male",1.685,1.779,1.868
"5","slope.male",0.287,0.305,0.325
"6","intercept.male",-2.562,-2.264,-1.931
