"","param","lower.Q1","mean","upper.Q3"
"1","AAD.male",12.768,13.111,13.44
"2","SDAD.male",5.903,6.113,6.329
"3","BSD.male",2.027,2.137,2.244
"4","WSD.male",1.724,1.807,1.889
"5","slope.male",0.3,0.319,0.338
"6","intercept.male",-2.491,-2.2,-1.893
