"","param","lower.Q1","mean","upper.Q3"
"1","AAD.male",11.784,13.861,15.81
"2","SDAD.male",5.556,6.114,6.696
"3","BSD.male",1.736,2.013,2.294
"4","WSD.male",1.634,1.781,1.917
"5","slope.male",0.239,0.297,0.342
"6","intercept.male",-2.808,-2.111,-1.383
