"","param","lower.Q1","mean","upper.Q3"
"1","AAD.male",11.642,13.633,15.745
"2","SDAD.male",5.481,6.073,6.66
"3","BSD.male",1.726,2.004,2.256
"4","WSD.male",1.647,1.811,1.961
"5","slope.male",0.25,0.305,0.353
"6","intercept.male",-2.901,-2.164,-1.336
