"","X","age_group","lower.Q1","Incidence","upper.Q3","Gender","Year","Calibration"
"57",9,"30-34",0,0.000525607551835975,0,"women","2017","HIV_Epi_Behavior"
"58",10,"35-39",0,0.000168141449889769,0,"women","2017","HIV_Epi_Behavior"
"59",11,"40-44",0,0.000138530547550349,0,"women","2017","HIV_Epi_Behavior"
"60",12,"45-49",0,4.90417278374872e-05,0,"women","2017","HIV_Epi_Behavior"
"61",1,"15-24",0.00214198699480045,0.00508281635944064,0.00739973742038228,"men","2013","PhyloTree"
"62",2,"25-29",0.00469401191962348,0.00974922489900993,0.0142029934714181,"men","2013","PhyloTree"
"63",3,"30-34",0.00628934192873618,0.0118562839575707,0.0165635445805707,"men","2013","PhyloTree"
"64",4,"35-39",0.00374638496242894,0.00957538734643234,0.01392786466916,"men","2013","PhyloTree"
"65",5,"40-44",0.00284116283093126,0.00550954411475023,0.00847784007223199,"men","2013","PhyloTree"
"66",6,"45-49",0,0.00204138909434739,0.00303072533232576,"men","2013","PhyloTree"
"67",7,"15-24",0.0103845984500524,0.0149690975165012,0.0189534551236286,"women","2013","PhyloTree"
"68",8,"25-29",0,0.00314613148014442,0.00560612587289222,"women","2013","PhyloTree"
"69",9,"30-34",0,0.00121976354887996,0,"women","2013","PhyloTree"
"70",10,"35-39",0,0.000481564221905031,0,"women","2013","PhyloTree"
"71",11,"40-44",0,0.000430077193405559,0,"women","2013","PhyloTree"
"72",12,"45-49",0,0.000204898510544396,0,"women","2013","PhyloTree"
"73",1,"15-24",0.00208351566754511,0.00463251145644243,0.00658865839966674,"men","2014","PhyloTree"
"74",2,"25-29",0.00441482766478164,0.00895811119846671,0.0136691039258368,"men","2014","PhyloTree"
"75",3,"30-34",0.00578015776912895,0.0109665893375161,0.0170583880595751,"men","2014","PhyloTree"
"76",4,"35-39",0.00428006195499479,0.00813511265446127,0.0125760779239028,"men","2014","PhyloTree"
"77",5,"40-44",0,0.00474767019154633,0.00645910162657736,"men","2014","PhyloTree"
"78",6,"45-49",0,0.00170394209504082,0.00297878082568624,"men","2014","PhyloTree"
"79",7,"15-24",0.00850464917028561,0.0128920207217231,0.0167764514673951,"women","2014","PhyloTree"
"80",8,"25-29",0,0.0022768958390296,0.00510375548160606,"women","2014","PhyloTree"
"81",9,"30-34",0,0.000907937337240038,0,"women","2014","PhyloTree"
"82",10,"35-39",0,0.000452704633956221,0,"women","2014","PhyloTree"
"83",11,"40-44",0,0.000271431336375339,0,"women","2014","PhyloTree"
"84",12,"45-49",0,0.000161465474756289,0,"women","2014","PhyloTree"
"85",1,"15-24",0.00203633169850002,0.00437427295170662,0.00655621554279355,"men","2015","PhyloTree"
"86",2,"25-29",0,0.00778398929916988,0.0122531372366902,"men","2015","PhyloTree"
"87",3,"30-34",0.00524034835167851,0.0101992062811004,0.015312488283218,"men","2015","PhyloTree"
"88",4,"35-39",0,0.0075508201842599,0.0114498652156026,"men","2015","PhyloTree"
"89",5,"40-44",0,0.0040808993701181,0.00599544350170225,"men","2015","PhyloTree"
"90",6,"45-49",0,0.00150046119929122,0.00291753421170923,"men","2015","PhyloTree"
"91",7,"15-24",0.00723417865715732,0.0116903496144787,0.0152655563667249,"women","2015","PhyloTree"
"92",8,"25-29",0,0.00191662761741052,0.0047394235038211,"women","2015","PhyloTree"
"93",9,"30-34",0,0.000637896668065433,0,"women","2015","PhyloTree"
"94",10,"35-39",0,0.000212220306120708,0,"women","2015","PhyloTree"
"95",11,"40-44",0,0.000225637218797598,0,"women","2015","PhyloTree"
"96",12,"45-49",0,9.11526999325635e-05,0,"women","2015","PhyloTree"
"97",1,"15-24",0,0.00394671923107834,0.00572837575810255,"men","2016","PhyloTree"
"98",2,"25-29",0.00391869026488609,0.00747694895285301,0.0103427179423995,"men","2016","PhyloTree"
"99",3,"30-34",0.00491094857508875,0.00952415911556082,0.0144551259844666,"men","2016","PhyloTree"
"100",4,"35-39",0,0.00687631229914662,0.00876721079106438,"men","2016","PhyloTree"
"101",5,"40-44",0,0.00368389655244461,0.00592225614775477,"men","2016","PhyloTree"
"102",6,"45-49",0,0.00136247584810983,0.00289555041674279,"men","2016","PhyloTree"
"103",7,"15-24",0.00660664467777841,0.0107296369577523,0.014517748269508,"women","2016","PhyloTree"
"104",8,"25-29",0,0.00166356207648075,0,"women","2016","PhyloTree"
"105",9,"30-34",0,0.000598589431417235,0,"women","2016","PhyloTree"
"106",10,"35-39",0,0.000363925015792561,0,"women","2016","PhyloTree"
"107",11,"40-44",0,0.000106943295191469,0,"women","2016","PhyloTree"
"108",12,"45-49",0,9.65153199902569e-05,0,"women","2016","PhyloTree"
"109",1,"15-24",0,0.00321392741345904,0.00479932233560328,"men","2017","PhyloTree"
"110",2,"25-29",0,0.00603210308302914,0.00896895019039953,"men","2017","PhyloTree"
"111",3,"30-34",0,0.00741907264809654,0.0108262840434908,"men","2017","PhyloTree"
"112",4,"35-39",0,0.0061670915807832,0.00992005882642564,"men","2017","PhyloTree"
"113",5,"40-44",0,0.00292591830276957,0.00345660425568245,"men","2017","PhyloTree"
"114",6,"45-49",0,0.000931981233827077,0,"men","2017","PhyloTree"
"115",7,"15-24",0.00513748178259386,0.00889779496645171,0.0120970487985482,"women","2017","PhyloTree"
