"","X","age_group","lower.Q1","Incidence","upper.Q3","Gender","Year","Calibration"
"57",9,"30-34",0,0.000446825520639843,0,"women","2017","HIV_Epi_Behavior"
"58",10,"35-39",0,0.000203878654318058,0,"women","2017","HIV_Epi_Behavior"
"59",11,"40-44",0,0.000104275052794713,0,"women","2017","HIV_Epi_Behavior"
"60",12,"45-49",0,2.15425321869737e-05,0,"women","2017","HIV_Epi_Behavior"
"61",1,"15-24",0.00179626332735783,0.00535845831825944,0.00805210663899822,"men","2013","PhyloTree"
"62",2,"25-29",0,0.00871364727332901,0.0129351867567901,"men","2013","PhyloTree"
"63",3,"30-34",0,0.0105984326162255,0.0160149668271696,"men","2013","PhyloTree"
"64",4,"35-39",0.00340032702028056,0.00892426433388892,0.0125401297611402,"men","2013","PhyloTree"
"65",5,"40-44",0,0.00498538079034204,0.00767806682257782,"men","2013","PhyloTree"
"66",6,"45-49",0,0.00215375917756357,0.00303910210069456,"men","2013","PhyloTree"
"67",7,"15-24",0.00899750110901135,0.0143642703934823,0.0184766159857348,"women","2013","PhyloTree"
"68",8,"25-29",0,0.00268431806311304,0.00529370672292576,"women","2013","PhyloTree"
"69",9,"30-34",0,0.00129547321917093,0,"women","2013","PhyloTree"
"70",10,"35-39",0,0.000454445579660698,0,"women","2013","PhyloTree"
"71",11,"40-44",0,0.000398956707794659,0,"women","2013","PhyloTree"
"72",12,"45-49",0,0.000154084979849667,0,"women","2013","PhyloTree"
"73",1,"15-24",0,0.00454844071333002,0.00684032121959277,"men","2014","PhyloTree"
"74",2,"25-29",0,0.00825480083401768,0.0120598740535795,"men","2014","PhyloTree"
"75",3,"30-34",0,0.009713517540584,0.0147246417948986,"men","2014","PhyloTree"
"76",4,"35-39",0,0.00769155446213194,0.0113733789487407,"men","2014","PhyloTree"
"77",5,"40-44",0,0.00441563594702658,0.00646040841188046,"men","2014","PhyloTree"
"78",6,"45-49",0,0.00176015589242607,0.00297962623223236,"men","2014","PhyloTree"
"79",7,"15-24",0.0066955536394827,0.0123274861543063,0.0165890055996099,"women","2014","PhyloTree"
"80",8,"25-29",0,0.00244577142014288,0.00455555076930234,"women","2014","PhyloTree"
"81",9,"30-34",0,0.00085607831758956,0,"women","2014","PhyloTree"
"82",10,"35-39",0,0.000382968031393722,0,"women","2014","PhyloTree"
"83",11,"40-44",0,0.00024825579092655,0,"women","2014","PhyloTree"
"84",12,"45-49",0,0.000146159300426047,0,"women","2014","PhyloTree"
"85",1,"15-24",0,0.00415102735329123,0.00644325005238883,"men","2015","PhyloTree"
"86",2,"25-29",0,0.00687161407609611,0.00999677385719826,"men","2015","PhyloTree"
"87",3,"30-34",0,0.00853110141002834,0.012685311535982,"men","2015","PhyloTree"
"88",4,"35-39",0,0.00704188769856829,0.0115284721314721,"men","2015","PhyloTree"
"89",5,"40-44",0,0.00405931345766326,0.00601798179320405,"men","2015","PhyloTree"
"90",6,"45-49",0,0.00164455379691552,0.00290502213022441,"men","2015","PhyloTree"
"91",7,"15-24",0.00607216970731044,0.0110523154221386,0.0149587138072605,"women","2015","PhyloTree"
"92",8,"25-29",0,0.00211111538773415,0.00435951324600944,"women","2015","PhyloTree"
"93",9,"30-34",0,0.000639302933795063,0,"women","2015","PhyloTree"
"94",10,"35-39",0,0.000273927103355657,0,"women","2015","PhyloTree"
"95",11,"40-44",0,0.000151632730215273,0,"women","2015","PhyloTree"
"96",12,"45-49",0,8.79955156362694e-05,0,"women","2015","PhyloTree"
"97",1,"15-24",0,0.00386892311417233,0.0053793270608811,"men","2016","PhyloTree"
"98",2,"25-29",0,0.00771411105457966,0.0115921472436713,"men","2016","PhyloTree"
"99",3,"30-34",0,0.00825649859741375,0.0125934730986708,"men","2016","PhyloTree"
"100",4,"35-39",0,0.00712458879349698,0.00894464016577864,"men","2016","PhyloTree"
"101",5,"40-44",0,0.0039748886951215,0.0058435523501661,"men","2016","PhyloTree"
"102",6,"45-49",0,0.00149451328108123,0.00287481057175804,"men","2016","PhyloTree"
"103",7,"15-24",0.00596079168457363,0.0102299235057562,0.0141098435297241,"women","2016","PhyloTree"
"104",8,"25-29",0,0.00165871733977827,0.00341071216865343,"women","2016","PhyloTree"
"105",9,"30-34",0,0.000751481830704285,0,"women","2016","PhyloTree"
"106",10,"35-39",0,0.000319476398447223,0,"women","2016","PhyloTree"
"107",11,"40-44",0,9.10664520745953e-05,0,"women","2016","PhyloTree"
"108",12,"45-49",0,0.000115201998477503,0,"women","2016","PhyloTree"
"109",1,"15-24",0,0.0030214248820055,0.00472509935726479,"men","2017","PhyloTree"
"110",2,"25-29",0,0.00539633139641013,0.00775749157509768,"men","2017","PhyloTree"
"111",3,"30-34",0,0.00653456761471016,0.0106537808727785,"men","2017","PhyloTree"
"112",4,"35-39",0,0.00557471090576959,0.00948772395407026,"men","2017","PhyloTree"
"113",5,"40-44",0,0.00339469013089748,0.00542157974039371,"men","2017","PhyloTree"
"114",6,"45-49",0,0.00142873830030444,0.00279663391577415,"men","2017","PhyloTree"
"115",7,"15-24",0.00364802426988321,0.00828322088704095,0.0115181767693085,"women","2017","PhyloTree"
"116",8,"25-29",0,0.00125112036507349,0,"women","2017","PhyloTree"
"117",9,"30-34",0,0.000391946158368858,0,"women","2017","PhyloTree"
"118",10,"35-39",0,0.000183930192274329,0,"women","2017","PhyloTree"
"119",11,"40-44",0,9.78363902220414e-05,0,"women","2017","PhyloTree"
"120",12,"45-49",0,1.98059167065873e-05,0,"women","2017","PhyloTree"
"121",1,"15-24",0,0.0040143625928105,0.00615857198388368,"men","2013","Combined"
"122",2,"25-29",0,0.00788540470049638,0.0113826442283567,"men","2013","Combined"
"123",3,"30-34",0,0.0104577460289374,0.0154236592678094,"men","2013","Combined"
"124",4,"35-39",0.00345143218194272,0.00925251849432293,0.013468221489533,"men","2013","Combined"
"125",5,"40-44",0.00230198977985901,0.00577546504552562,0.00860096216078735,"men","2013","Combined"
"126",6,"45-49",0,0.00277426557808896,0.00337970052350759,"men","2013","Combined"
"127",7,"15-24",0.00899632522740871,0.0136792668461696,0.01827887858086,"women","2013","Combined"
"128",8,"25-29",0,0.00279271640915208,0.00532424329909101,"women","2013","Combined"
"129",9,"30-34",0,0.00147180018135618,0,"women","2013","Combined"
"130",10,"35-39",0,0.000514807412926081,0,"women","2013","Combined"
"131",11,"40-44",0,0.000446350129617803,0,"women","2013","Combined"
"132",12,"45-49",0,0.000173309329953982,0,"women","2013","Combined"
"133",1,"15-24",0,0.0039721929942006,0.00593413321853462,"men","2014","Combined"
"134",2,"25-29",0,0.00736852657205395,0.0122320023633778,"men","2014","Combined"
"135",3,"30-34",0,0.00856923676065768,0.0138154802380794,"men","2014","Combined"
"136",4,"35-39",0.0037830659357242,0.00821754163353185,0.0124282351255833,"men","2014","Combined"
"137",5,"40-44",0,0.0049061277688751,0.00676105910373904,"men","2014","Combined"
"138",6,"45-49",0,0.00227838800411091,0.00309128003391867,"men","2014","Combined"
"139",7,"15-24",0.00655066450901099,0.0117376534245744,0.0161977285772863,"women","2014","Combined"
"140",8,"25-29",0,0.00255594513894417,0.00493783366219911,"women","2014","Combined"
"141",9,"30-34",0,0.000997692984697301,0,"women","2014","Combined"
"142",10,"35-39",0,0.000377215709469038,0,"women","2014","Combined"
"143",11,"40-44",0,0.00022124941881774,0,"women","2014","Combined"
"144",12,"45-49",0,0.000143328044339005,0,"women","2014","Combined"
"145",1,"15-24",0,0.00379087517364008,0.0059305339131209,"men","2015","Combined"
"146",2,"25-29",0,0.00664023723129116,0.0105545109415195,"men","2015","Combined"
"147",3,"30-34",0,0.00860909481297371,0.0128423563593525,"men","2015","Combined"
"148",4,"35-39",0,0.00684913939476691,0.0108231487825675,"men","2015","Combined"
"149",5,"40-44",0,0.00438454662649421,0.00635829445432035,"men","2015","Combined"
"150",6,"45-49",0,0.00172134409078568,0.00290137736729571,"men","2015","Combined"
"151",7,"15-24",0.00566855666728079,0.0104745341909771,0.0142272219617484,"women","2015","Combined"
"152",8,"25-29",0,0.00222033748350705,0.00462447019860532,"women","2015","Combined"
"153",9,"30-34",0,0.000667344030778982,0,"women","2015","Combined"
"154",10,"35-39",0,0.000289071588241634,0,"women","2015","Combined"
"155",11,"40-44",0,0.000133183665057829,0,"women","2015","Combined"
"156",12,"45-49",0,0.000108076861908512,0,"women","2015","Combined"
"157",1,"15-24",0,0.00338522186775142,0.00502209963809573,"men","2016","Combined"
"158",2,"25-29",0,0.005855022209643,0.0090069409548002,"men","2016","Combined"
"159",3,"30-34",0,0.0076800138947314,0.0120234361893001,"men","2016","Combined"
"160",4,"35-39",0,0.00655183456666115,0.00897793408782477,"men","2016","Combined"
"161",5,"40-44",0,0.00393202793049812,0.00575067994657678,"men","2016","Combined"
"162",6,"45-49",0,0.00152318491785893,0.0028011105451558,"men","2016","Combined"
"163",7,"15-24",0.00550536829599511,0.00966428350743249,0.0132355546631886,"women","2016","Combined"
"164",8,"25-29",0,0.00185127816051975,0.00414258921919732,"women","2016","Combined"
"165",9,"30-34",0,0.000586467817507393,0,"women","2016","Combined"
"166",10,"35-39",0,0.000371682181490669,0,"women","2016","Combined"
"167",11,"40-44",0,0.000171334238687475,0,"women","2016","Combined"
"168",12,"45-49",0,5.07056502734565e-05,0,"women","2016","Combined"
"169",1,"15-24",0,0.00273715144752317,0.0044269028897805,"men","2017","Combined"
"170",2,"25-29",0,0.00471539974110716,0.00718796282725447,"men","2017","Combined"
"171",3,"30-34",0,0.00615685277152941,0.00948005813633294,"men","2017","Combined"
"172",4,"35-39",0,0.00594573640489766,0.00984616219675611,"men","2017","Combined"
"173",5,"40-44",0,0.00303245523610416,0.00507077819321241,"men","2017","Combined"
"174",6,"45-49",0,0.00110008089866457,0.00267667462266251,"men","2017","Combined"
"175",7,"15-24",0.00317541727039034,0.00758506234448834,0.0106550788047348,"women","2017","Combined"
"176",8,"25-29",0,0.00113808957202,0,"women","2017","Combined"
"177",9,"30-34",0,0.000455353222297839,0,"women","2017","Combined"
"178",10,"35-39",0,0.000134907291052629,0,"women","2017","Combined"
"179",11,"40-44",0,9.49188663008208e-05,0,"women","2017","Combined"
"180",12,"45-49",0,2.62934842909264e-05,0,"women","2017","Combined"
"181",1,"15-24",0,0.00302794498794006,0.00445203759159271,"men","2013","Benchmark"
"182",2,"25-29",0,0.00692518572839947,0.0100915376370726,"men","2013","Benchmark"
"183",3,"30-34",0,0.00874815414285315,0.0141390791569276,"men","2013","Benchmark"
"184",4,"35-39",0.00335750877101175,0.00795229944138495,0.0106812767390162,"men","2013","Benchmark"
"185",5,"40-44",0.00258090989196875,0.00472533212322173,0.00599964315406518,"men","2013","Benchmark"
"186",6,"45-49",0,0.00219582503997461,0.00290266278952912,"men","2013","Benchmark"
"187",7,"15-24",0.00697918196878262,0.0116864607419732,0.0153891143552359,"women","2013","Benchmark"
"188",8,"25-29",0,0.00364635468267276,0.0056063364173774,"women","2013","Benchmark"
"189",9,"30-34",0,0.00179740315085579,0,"women","2013","Benchmark"
"190",10,"35-39",0,0.000772978531747733,0,"women","2013","Benchmark"
"191",11,"40-44",0,0.000508371172497601,0,"women","2013","Benchmark"
"192",12,"45-49",0,0.000276545275641631,0,"women","2013","Benchmark"
"193",1,"15-24",0,0.00288917403998375,0.00446722090391694,"men","2014","Benchmark"
"194",2,"25-29",0,0.00579954213814352,0.00953626535406974,"men","2014","Benchmark"
"195",3,"30-34",0,0.00806492742915384,0.0124591055409379,"men","2014","Benchmark"
