"","MRE_1_1","MRE_1_2","MRE_2_1","MRE_2_2","MRE_3_1","MRE_3_2"
"error_mean_onward_transmission",0.17513,0.1349,0.15716,0.12686,0.16807,0.13272
"error_med_onward_transmission",0.3271,0.31999,0.34116,0.31962,0.32561,0.32279
"error_sd_onward_transmission",0.46932,0.32561,0.39235,0.32676,0.45539,0.33333
